Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP001002,Male,No,0,Graduate,No,5849,0,,360,1,Urban,Y
LP001003,Male,Yes,1,Graduate,No,4583,1508,128,360,1,Rural,N
LP001004,Male,Yes,0,Graduate,Yes,3000,0,66,360,1,Urban,Y
LP001005,Male,Yes,0,Not Graduate,No,2583,2358,120,360,1,Urban,Y
LP001006,Male,No,0,Graduate,No,6000,0,141,360,1,Urban,Y
LP001007,Male,Yes,2,Graduate,Yes,5417,4196,267,360,1,Urban,Y
LP001008,Male,Yes,0,Not Graduate,No,2333,1516,95,360,1,Urban,Y
LP001009,Male,Yes,3+,Graduate,No,3036,2504,158,360,0,Semiurban,N
LP001010,Male,Yes,2,Graduate,No,4006,1526,168,360,1,Urban,Y
LP001011,Male,Yes,1,Graduate,No,12841,10968,349,360,1,Semiurban,N
LP001012,Male,Yes,2,Graduate,No,3200,700,70,360,1,Urban,Y
LP001013,Male,Yes,2,Graduate,,2500,1840,109,360,1,Urban,Y
LP001014,Male,Yes,2,Graduate,No,3073,8106,200,360,1,Urban,Y
LP001015,Male,No,0,Graduate,No,1853,2840,114,360,1,Rural,N
LP001016,Male,Yes,2,Graduate,No,1299,1086,17,120,1,Urban,Y
LP001017,Male,No,0,Graduate,No,4950,0,125,360,1,Urban,Y
LP001018,Male,No,1,Not Graduate,No,3596,0,100,240,,Urban,Y
LP001019,Female,No,0,Graduate,No,3510,0,76,360,0,Urban,N
LP001020,Male,Yes,0,Not Graduate,No,4887,0,133,360,1,Rural,N
LP001021,Male,Yes,0,Graduate,,2600,3500,115,,1,Urban,Y
LP001022,Male,Yes,0,Not Graduate,No,7660,0,104,360,0,Urban,N
LP001023,Male,Yes,1,Graduate,No,5955,5625,315,360,1,Urban,Y
LP001024,Male,Yes,0,Not Graduate,No,2600,1911,116,360,0,Semiurban,N
LP001025,,Yes,2,Not Graduate,No,3365,1917,112,360,0,Rural,N
LP001026,Male,Yes,1,Graduate,,3717,2925,151,360,,Semiurban,N
LP001027,Male,Yes,0,Graduate,Yes,9560,0,191,360,1,Semiurban,Y
LP001028,Male,Yes,0,Graduate,No,2799,2253,122,360,1,Semiurban,Y
LP001029,Male,Yes,2,Not Graduate,No,4226,1040,110,360,1,Urban,Y
LP001030,Male,No,0,Not Graduate,No,1442,0,35,360,1,Urban,N
LP001031,Female,No,2,Graduate,,3750,2083,120,360,1,Semiurban,Y
LP001032,Male,Yes,1,Graduate,,4166,3369,201,360,,Urban,N
LP001033,Male,No,0,Graduate,No,3167,0,74,360,1,Urban,N
LP001034,Male,No,1,Graduate,Yes,4692,0,106,360,1,Rural,N
LP001035,Male,Yes,0,Graduate,No,3500,1667,114,360,1,Semiurban,Y
LP001036,Male,No,3+,Graduate,No,12500,3000,320,360,1,Rural,N
LP001037,Male,Yes,0,Graduate,No,2275,2067,,360,1,Urban,Y
LP001038,Male,Yes,0,Graduate,No,1828,1330,100,,0,Urban,N
LP001039,Female,Yes,0,Graduate,No,3667,1459,144,360,1,Semiurban,Y
LP001040,Male,No,0,Graduate,No,4166,7210,184,360,1,Urban,Y
LP001041,Male,No,0,Not Graduate,No,3748,1668,110,360,1,Semiurban,Y
LP001042,Male,No,0,Graduate,No,3600,0,80,360,1,Urban,N
LP001043,Male,No,0,Graduate,No,1800,1213,47,360,1,Urban,Y
LP001044,Male,Yes,0,Graduate,No,2400,0,75,360,,Urban,Y
LP001045,Male,Yes,0,Graduate,No,3941,2336,134,360,1,Semiurban,Y
LP001046,Male,Yes,0,Not Graduate,Yes,4695,0,96,,1,Urban,Y
LP001047,Female,No,0,Graduate,No,3410,0,88,,1,Urban,Y
LP001048,Male,Yes,1,Graduate,No,5649,0,44,360,1,Urban,Y
LP001049,Male,Yes,0,Graduate,No,5821,0,144,360,1,Urban,Y
LP001050,Female,Yes,0,Graduate,No,2645,3440,120,360,0,Urban,N
LP001051,Female,No,0,Graduate,No,4000,2275,144,360,1,Semiurban,Y
LP001052,Female,Yes,0,Not Graduate,No,1928,1644,100,360,1,Semiurban,Y
LP001053,Female,No,0,Graduate,No,3086,0,120,360,1,Semiurban,Y
LP001054,Female,No,0,Graduate,No,4230,0,112,360,1,Semiurban,N
LP001055,Male,Yes,2,Graduate,No,4616,0,134,360,1,Urban,N
LP001056,Female,Yes,1,Graduate,Yes,11500,0,286,360,0,Urban,N
LP001057,Male,Yes,2,Graduate,No,2708,1167,97,360,1,Semiurban,Y
LP001058,Male,Yes,0,Graduate,No,2132,1591,96,360,1,Semiurban,Y
LP001059,Male,Yes,0,Graduate,No,3366,2200,135,360,1,Rural,N
LP001060,Male,Yes,1,Graduate,No,8080,2250,180,360,1,Urban,Y
LP001061,Male,Yes,2,Not Graduate,No,3357,2859,144,360,1,Urban,Y
LP001062,Male,Yes,0,Graduate,No,2500,3796,120,360,1,Urban,Y
LP001063,Male,Yes,3+,Graduate,No,3029,0,99,360,1,Urban,Y
LP001064,Male,Yes,0,Not Graduate,Yes,2609,3449,165,180,0,Rural,N
LP001065,Male,Yes,1,Graduate,No,4945,0,,360,0,Rural,N
LP001066,Female,No,0,Graduate,No,4166,0,116,360,0,Semiurban,N
LP001067,Male,Yes,0,Graduate,No,5726,4595,258,360,1,Semiurban,N
LP001068,Male,No,0,Not Graduate,No,3200,2254,126,180,0,Urban,N
LP001069,Male,Yes,1,Graduate,No,10750,0,312,360,1,Urban,Y
LP001070,Male,Yes,3+,Not Graduate,Yes,7100,0,125,60,1,Urban,Y
LP001071,Female,No,0,Graduate,No,4300,0,136,360,0,Semiurban,N
LP001072,Male,Yes,0,Graduate,No,3208,3066,172,360,1,Urban,Y
LP001073,Male,Yes,2,Not Graduate,Yes,1875,1875,97,360,1,Semiurban,Y
LP001074,Male,No,0,Graduate,No,3500,0,81,300,1,Semiurban,Y
LP001075,Male,Yes,3+,Not Graduate,No,4755,0,95,,0,Semiurban,N
LP001076,Male,Yes,3+,Graduate,Yes,5266,1774,187,360,1,Semiurban,Y
LP001077,Male,No,0,Graduate,No,3750,0,113,480,1,Urban,N
LP001078,Male,No,0,Graduate,No,3750,4750,176,360,1,Urban,N
LP001079,Male,Yes,1,Graduate,Yes,1000,3022,110,360,1,Urban,N
LP001080,Male,Yes,3+,Graduate,No,3167,4000,180,300,0,Semiurban,N
LP001081,Male,Yes,3+,Not Graduate,Yes,3333,2166,130,360,,Semiurban,Y
LP001082,Female,No,0,Graduate,No,3846,0,111,360,1,Semiurban,Y
LP001083,Male,Yes,1,Graduate,Yes,2395,0,,360,1,Semiurban,Y
LP001084,Female,Yes,2,Graduate,No,1378,1881,167,360,1,Urban,N
LP001085,Male,Yes,0,Graduate,No,6000,2250,265,360,,Semiurban,N
LP001086,Male,Yes,1,Graduate,No,3988,0,50,240,1,Urban,Y
